   date       s19h_m     s19h_b      s19v_m     s19v_b      s22v_m     s22v_b      s37h_m     s37h_b      s37v_m     s37v_b   
2021-05-18   1.05170   -8.78332     0.98003    9.73931     0.93162   21.27836     1.00068    0.99537     0.93378   18.08743  
2021-05-19   1.05728  -10.11348     0.98254    9.12125     0.93793   19.80651     1.01231   -1.62426     0.94026   16.56449  
2021-05-20   1.06116  -10.71759     0.98512    8.56904     0.94867   17.28786     1.01330   -1.62263     0.94615   15.23760  
2021-05-21   1.04672   -7.58617     0.97554   10.81256     0.92547   22.79964     0.99330    2.65541     0.92319   20.60452  
2021-05-22   1.04625   -7.52030     0.97635   10.69508     0.93484   20.71324     0.99197    3.05063     0.93192   18.68966  
2021-05-23   1.04019   -6.23001     0.97228   11.75723     0.92843   22.36452     0.98766    4.18299     0.93106   19.08170  
2021-05-24   1.04328   -7.04623     0.97263   11.54415     0.92766   22.45034     0.99364    2.64864     0.93052   18.99939  
2021-05-25   1.04987   -8.42172     0.97684   10.59698     0.93095   21.77097     1.00514    0.01643     0.93616   17.75448  
2021-05-26   1.05175   -9.08494     0.97749   10.31004     0.93377   20.97756     1.00966   -1.19392     0.93796   17.22548  
2021-05-27   1.03937   -6.07377     0.96997   12.25595     0.92381   23.35885     0.98089    5.21202     0.91803   22.01871  
2021-05-28   1.05521   -9.53047     0.97989    9.78751     0.93659   20.31924     1.01243   -1.55726     0.94043   16.62587  
2021-05-29   1.05031   -8.25943     0.97670   10.71282     0.93156   21.63603     0.99807    2.07163     0.93365   18.51043  
2021-05-30   1.04822   -8.21754     0.97551   10.82130     0.92809   22.27363     0.99907    1.48788     0.93063   19.03215  
2021-05-31   1.05363   -9.15493     0.97832   10.24213     0.93294   21.13537     1.00534    0.15005     0.93474   18.10439  
2021-06-01   1.05429   -9.48847     0.98000    9.66706     0.93678   20.06497     1.01158   -1.40948     0.94592   15.26494  
2021-06-02   1.05564   -9.70814     0.98047    9.61840     0.93568   20.40530     1.00845   -0.75066     0.94133   16.34605  
2021-06-03   1.04480   -7.18070     0.97170   11.81675     0.92375   23.33158     0.99538    2.29334     0.93211   18.62165  
2021-06-04   1.05480   -9.27637     0.97793   10.36006     0.92745   22.48175     1.01281   -1.54655     0.94122   16.46495  
2021-06-05   1.05720   -9.74739     0.98233    9.34200     0.93860   19.80108     1.01290   -1.33543     0.94496   15.68078  
